"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","testMonoIntegerNull()","","Wed Mar 26 19:40:56 GMT 2025","passed","Wed Mar 26 19:40:56 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoIntegerNull"
"","19","testAutowireCollection()","","Wed Mar 26 19:41:27 GMT 2025","passed","Wed Mar 26 19:41:27 GMT 2025","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testAutowireCollection"
"","4","testRawCRI2()","","Wed Mar 26 19:40:48 GMT 2025","passed","Wed Mar 26 19:40:48 GMT 2025","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI2"
"","38","should invoke fetchData asynchronously","Publish Mechanism","Wed Mar 26 19:44:01 GMT 2025","passed","Wed Mar 26 19:44:01 GMT 2025","","Async methods without scope","",""
"","76","testPutListOfSimpleObjects()","","Wed Mar 26 19:41:00 GMT 2025","passed","Wed Mar 26 19:41:00 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","10","testSendTokenBuffer()","","Wed Mar 26 19:41:01 GMT 2025","passed","Wed Mar 26 19:41:01 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendTokenBuffer"
"","124","testVertxFutureNullString()","","Wed Mar 26 19:41:01 GMT 2025","passed","Wed Mar 26 19:41:01 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFutureNullString"
"","41","should return missing method error","Continuum RPC Tests","Wed Mar 26 19:44:01 GMT 2025","passed","Wed Mar 26 19:44:02 GMT 2025","","","",""
"","21","testPutNestedGenerics()","","Wed Mar 26 19:41:01 GMT 2025","passed","Wed Mar 26 19:41:01 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutNestedGenerics"
"","45","should invoke combine with multiple args synchronously","Publish Mechanism","Wed Mar 26 19:44:01 GMT 2025","passed","Wed Mar 26 19:44:01 GMT 2025","","Non-async methods without scope","",""
"","10358","testSingleProducerMultiConsumer()","","Wed Mar 26 19:41:47 GMT 2025","passed","Wed Mar 26 19:41:57 GMT 2025","","org.kinotic.util.TestFluxFactory","org.kinotic.util.TestFluxFactory","testSingleProducerMultiConsumer"
"","20","should fail invalid service request","Continuum RPC Tests","Wed Mar 26 19:44:01 GMT 2025","passed","Wed Mar 26 19:44:01 GMT 2025","","","",""
"","26","testMissingRemoteMethodFailure()","","Wed Mar 26 19:41:00 GMT 2025","passed","Wed Mar 26 19:41:00 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMissingRemoteMethodFailure"
"","22","should propagate synchronous error with scope","Publish Mechanism","Wed Mar 26 19:44:01 GMT 2025","passed","Wed Mar 26 19:44:01 GMT 2025","Non-async errors with scope","Error propagation","",""
"","16","testMiddleArgParticipant()","","Wed Mar 26 19:41:00 GMT 2025","passed","Wed Mar 26 19:41:01 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMiddleArgParticipant"
"","47","testCreateFindRemove()","","Wed Mar 26 19:41:01 GMT 2025","passed","Wed Mar 26 19:41:01 GMT 2025","","org.kinotic.continuum.internal.core.api.TestSessionManager","org.kinotic.continuum.internal.core.api.TestSessionManager","testCreateFindRemove"
"","6","testMonoWithValue()","","Wed Mar 26 19:41:01 GMT 2025","passed","Wed Mar 26 19:41:01 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithValue"
"","26","should process list of complex objects without scope","Publish Mechanism","Wed Mar 26 19:44:01 GMT 2025","passed","Wed Mar 26 19:44:01 GMT 2025","Complex object handling","Error propagation","",""
"","25","testSchemaFactory()","","Wed Mar 26 19:41:41 GMT 2025","passed","Wed Mar 26 19:41:41 GMT 2025","","org.kinotic.continuum.idl.internal.TestSchemaFactory","org.kinotic.continuum.idl.internal.TestSchemaFactory","testSchemaFactory"
"","12","testLimitedFlux()","","Wed Mar 26 19:41:01 GMT 2025","passed","Wed Mar 26 19:41:01 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testLimitedFlux"
"","4019","testInfiniteFlux()","","Wed Mar 26 19:40:56 GMT 2025","passed","Wed Mar 26 19:41:00 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testInfiniteFlux"
"","0","testEventStreamWriteWithKey()","","Wed Mar 26 19:41:01 GMT 2025","passed","Wed Mar 26 19:41:01 GMT 2025","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithKey"
"","6045","should connect and disconnect","Continuum Unavailable Tests","Wed Mar 26 19:44:02 GMT 2025","passed","Wed Mar 26 19:44:08 GMT 2025","","","",""
"","26","should propagate synchronous error","Publish Mechanism","Wed Mar 26 19:44:01 GMT 2025","passed","Wed Mar 26 19:44:01 GMT 2025","Non-async errors without scope","Error propagation","",""
