"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","testSchemaFactory()","","Tue Jan 28 22:49:56 GMT 2025","passed","Tue Jan 28 22:49:56 GMT 2025","","org.kinotic.continuum.idl.internal.TestSchemaFactory","org.kinotic.continuum.idl.internal.TestSchemaFactory","testSchemaFactory"
"","185","should connect and disconnect","Continuum Client Tests","Tue Jan 28 22:52:31 GMT 2025","passed","Tue Jan 28 22:52:31 GMT 2025","","","",""
"","7","testFirstArgParticipant()","","Tue Jan 28 22:49:14 GMT 2025","passed","Tue Jan 28 22:49:14 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testFirstArgParticipant"
"","9","testUnknownFailure()","","Tue Jan 28 22:49:13 GMT 2025","passed","Tue Jan 28 22:49:13 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testUnknownFailure"
"","13","testPutMapOfSimpleObjects()","","Tue Jan 28 22:49:13 GMT 2025","passed","Tue Jan 28 22:49:13 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutMapOfSimpleObjects"
"","12","testMultipleRequests()","","Tue Jan 28 22:49:13 GMT 2025","passed","Tue Jan 28 22:49:13 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMultipleRequests"
"","21","testSendTokenBuffer()","","Tue Jan 28 22:49:13 GMT 2025","passed","Tue Jan 28 22:49:13 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendTokenBuffer"
"","60","should return missing method error","Continuum RPC Tests","Tue Jan 28 22:52:31 GMT 2025","passed","Tue Jan 28 22:52:31 GMT 2025","","","",""
"","16","testMiddleArgParticipant()","","Tue Jan 28 22:49:13 GMT 2025","passed","Tue Jan 28 22:49:13 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMiddleArgParticipant"
"","4024","testInfiniteFlux()","","Tue Jan 28 22:49:09 GMT 2025","passed","Tue Jan 28 22:49:13 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testInfiniteFlux"
"","6","testMonoStringLiterallyNull()","","Tue Jan 28 22:49:13 GMT 2025","passed","Tue Jan 28 22:49:13 GMT 2025","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringLiterallyNull"
"","6039","should connect and disconnect","Continuum Unavailable Tests","Tue Jan 28 22:52:32 GMT 2025","passed","Tue Jan 28 22:52:38 GMT 2025","","","",""
"","2","testReverseCopySmall()","","Tue Jan 28 22:50:04 GMT 2025","passed","Tue Jan 28 22:50:04 GMT 2025","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopySmall"
"","1826","testSimple()","","Tue Jan 28 22:49:42 GMT 2025","passed","Tue Jan 28 22:49:44 GMT 2025","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testSimple"
